Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
02/23/2001,-0.279352309912867,-0.167729340449068,-0.311858858268428,0.430197451920835,-1.96733284290906,0.721218424188242
03/02/2001,-0.273280047493849,-0.168792790352019,-0.299919079171323,0.414272087822478,-1.97263288768383,0.719909555753714
03/09/2001,-0.264545582394036,-0.161768537387247,-0.284797104577786,0.400317189831416,-1.97512871963436,0.718814518781503
03/16/2001,-0.255633397771872,-0.14953419442856,-0.268938109389981,0.386781791760152,-1.97550232560704,0.717900329132628
03/23/2001,-0.25160561559923,-0.142380711414122,-0.257553695226232,0.37188824403928,-1.97341149973798,0.717120129820272
03/30/2001,-0.255100499726323,-0.147400308053592,-0.253728651889636,0.354995361470922,-1.96950663009072,0.71641592488231
04/06/2001,-0.26478604511565,-0.165858716606613,-0.257715045981074,0.33609259217797,-1.9631602585551,0.715721982202498
04/13/2001,-0.283860430439906,-0.198577923323247,-0.272503135319887,0.315560714356857,-1.95596723433068,0.714955946421257
04/20/2001,-0.308209710662279,-0.236639764833141,-0.293937954448574,0.293989868057546,-1.94868662002656,0.71404026153035
04/27/2001,-0.334933970929186,-0.271176592496157,-0.318888281868636,0.27275442185369,-1.94302709378125,0.71289432063327
05/04/2001,-0.362808940349067,-0.29842284921049,-0.345697712700444,0.252851162193004,-1.93988106450241,0.711438172590087
05/11/2001,-0.38804113621979,-0.316965016634363,-0.371258851521359,0.235893615018767,-1.9397401964868,0.709596119402463
05/18/2001,-0.407835471473353,-0.328304952060327,-0.39208497128325,0.222293977427312,-1.94303775609804,0.707298058510428
05/25/2001,-0.423746744299722,-0.340129619013203,-0.410037209715353,0.21287554440885,-1.94982095734258,0.70447976656643
06/01/2001,-0.434994930498343,-0.354536109210814,-0.424824870186648,0.207588338958683,-1.95888979926409,0.701084722385469
06/08/2001,-0.442745643663703,-0.371268419321699,-0.437222065588899,0.205453813747662,-1.9689698198063,0.697064364882116
06/15/2001,-0.448614308401953,-0.387471734620416,-0.448024671285981,0.20528219733805,-1.97903116813392,0.692378606934574
06/22/2001,-0.454285350087735,-0.399174827979353,-0.458479876012118,0.205571361536774,-1.98698454429907,0.68699753518363
06/29/2001,-0.461034482612219,-0.405593546343808,-0.469861300304763,0.205175188025535,-1.99048958515634,0.680902134124909
07/06/2001,-0.470156815851132,-0.410434805476139,-0.482059820297617,0.202859866835384,-1.98856006191697,0.674078581510165
07/13/2001,-0.480559564099361,-0.417137792912566,-0.494362956608245,0.199122085665598,-1.98034775764665,0.666528437562813
07/20/2001,-0.491035945913089,-0.429111782005373,-0.5047435523899,0.194146040160322,-1.96589912809717,0.658261813274307
07/27/2001,-0.500563093174613,-0.448681773522773,-0.512410433416685,0.189298690031416,-1.9459335828621,0.649297622341922
08/03/2001,-0.505418908053917,-0.468650717916479,-0.514247231960471,0.185919501630716,-1.92104791321713,0.639667052523831
08/10/2001,-0.501197521123719,-0.47875074390824,-0.507166106383824,0.18577001025434,-1.89243021298978,0.62941755574324
08/17/2001,-0.487536265464131,-0.473751960092152,-0.49146228654415,0.189908787757506,-1.86180035750202,0.618613715850677
08/24/2001,-0.463568958498635,-0.450429169868727,-0.467556174878132,0.199071855798847,-1.83056063318576,0.60734049357857
08/31/2001,-0.432823911839719,-0.415285427225891,-0.439159431254403,0.213102918439346,-1.80091399662605,0.595705981954122
09/07/2001,-0.399062660232329,-0.379540458425413,-0.410109637097312,0.230910384300515,-1.77415298434374,0.583841361392275
09/14/2001,-0.367013885593592,-0.349959944707934,-0.384498385477581,0.25101455564021,-1.75189898117711,0.571903219706467
09/21/2001,-0.344819074132474,-0.336966013298211,-0.369259891451177,0.270754954653454,-1.73390079016424,0.560072195281622
09/28/2001,-0.338350538473307,-0.345273417333897,-0.368615108566554,0.287959494008075,-1.7203632534057,0.54854530306531
10/05/2001,-0.340547321793843,-0.360351021234646,-0.375647278988456,0.300850107825665,-1.7087501768876,0.537525185069139
10/12/2001,-0.351855744566266,-0.382157820535168,-0.390852788807845,0.309250017523993,-1.69777804639181,0.527239927092551
10/19/2001,-0.367474202159222,-0.405687193878672,-0.408777530594078,0.313068747122091,-1.68637130648891,0.51787527703008
10/26/2001,-0.383970320532542,-0.429226847710232,-0.426353388372335,0.313096487158676,-1.67284353548294,0.50960289654659
11/02/2001,-0.395582771081746,-0.448437814746467,-0.438099176527093,0.310131406123524,-1.65559257372328,0.502561198050693
